state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,"Alluri Sitharama Raju",745,0,7073,6,7079
"ANDHRA PRADESH",28,Konaseema,747,5,37288,112,37405
"ANDHRA PRADESH",28,"WEST GODAVARI",523,73,82973,1203,84249
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",230,0,149,3,152
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",236,1,1053,8,1062
ASSAM,18,Biswanath,705,2,13897,57,13956
ASSAM,18,CHARAIDEO,708,2,8871,26,8899
ASSAM,18,HOJAI,709,1,19202,84,19287
ASSAM,18,MARIGAON,296,3,19470,61,19534
ASSAM,18,SONITPUR,301,11,28158,148,28317
ASSAM,18,TINSUKIA,302,9,32620,242,32871
ASSAM,18,UDALGURI,617,0,13179,41,13220
BIHAR,10,BANKA,190,1,24336,78,24415
BIHAR,10,MADHEPURA,205,7,27728,185,27920
BIHAR,10,MUZAFFARPUR,208,23,90277,664,90964
BIHAR,10,NALANDA,209,3,38718,201,38922
BIHAR,10,SARAN,218,10,43376,239,43625
BIHAR,10,SHEIKHPURA,219,0,8461,34,8495
BIHAR,10,VAISHALI,224,7,56785,258,57050
CHHATTISGARH,22,BALRAMPUR,649,0,8012,32,8044
CHHATTISGARH,22,DHAMTARI,377,1,16862,104,16967
CHHATTISGARH,22,GARIABAND,645,0,11344,28,11372
GOA,30,"NORTH GOA",551,29,44403,464,44896
GUJARAT,24,ANAND,440,14,56628,336,56978
GUJARAT,24,DOHAD,445,5,23944,162,24111
GUJARAT,24,JAMNAGAR,447,33,51332,733,52098
GUJARAT,24,MAHESANA,451,60,51296,963,52319
GUJARAT,24,MAHISAGAR,669,0,10249,34,10283
GUJARAT,24,NARMADA,452,0,6995,43,7038
GUJARAT,24,RAJKOT,457,183,161677,1966,163826
GUJARAT,24,"SABAR KANTHA",458,12,31990,260,32262
GUJARAT,24,TAPI,641,4,10657,88,10749
GUJARAT,24,VALSAD,462,31,69221,720,69972
HARYANA,6,JIND,65,12,42175,387,42574
HARYANA,6,REWARI,72,26,29675,458,30159
HARYANA,6,SONIPAT,75,23,51419,571,52013
"HIMACHAL PRADESH",2,BILASPUR,15,2,11544,65,11611
"HIMACHAL PRADESH",2,"LAHUL AND SPITI",21,0,1031,2,1033
"HIMACHAL PRADESH",2,SOLAN,25,16,35295,347,35658
JHARKHAND,20,DHANBAD,325,23,66784,489,67296
JHARKHAND,20,JAMTARA,333,1,8764,25,8790
JHARKHAND,20,"KHUNTI ",606,0,6258,23,6281
JHARKHAND,20,"LOHARDAGA ",336,1,8828,40,8869
JHARKHAND,20,"RANCHI ",339,64,105965,1071,107100
KARNATAKA,29,"BENGALURU (RURAL)",526,48,88752,785,89585
KARNATAKA,29,"BENGALURU (URBAN)",525,800,504290,9235,514325
KARNATAKA,29,BIDAR,529,9,40909,221,41139
KARNATAKA,29,DHARWAD,536,35,72837,643,73515
KARNATAKA,29,KOLAR,542,13,42905,290,43208
KARNATAKA,29,KOPPAL,543,2,29647,330,29979
KARNATAKA,29,UDUPI,549,14,45600,355,45969
KARNATAKA,29,YADGIR,635,4,23432,171,23607
KERALA,32,ERNAKULAM,555,160,109574,2095,111829
KERALA,32,KANNUR,557,25,62543,547,63115
"MADHYA PRADESH",23,"EAST NIMAR",405,2,28680,174,28856
"MADHYA PRADESH",23,HARDA,408,0,14605,112,14717
"MADHYA PRADESH",23,HOSHANGABAD,409,10,30426,201,30637
"MADHYA PRADESH",23,KHARGONE,414,4,42991,231,43226
"MADHYA PRADESH",23,Maihar,784,1,2750,10,2761
"MADHYA PRADESH",23,MANDLA,415,0,16877,71,16948
"MADHYA PRADESH",23,MAUGANJ,766,0,2397,2,2399
"MADHYA PRADESH",23,PANNA,420,0,13578,39,13617
"MADHYA PRADESH",23,RAISEN,421,2,29816,197,30015
"MADHYA PRADESH",23,RAJGARH,422,12,52472,287,52771
"MADHYA PRADESH",23,SIDHI,433,1,15607,74,15682
"MADHYA PRADESH",23,TIKAMGARH,434,4,14927,90,15021
"MADHYA PRADESH",23,VIDISHA,437,6,38627,203,38836
MAHARASHTRA,27,AMRAVATI,468,14,95909,565,96488
MAHARASHTRA,27,BULDHANA,472,16,85008,408,85432
MAHARASHTRA,27,CHANDRAPUR,473,12,62659,401,63072
MAHARASHTRA,27,DHULE,474,12,56552,353,56917
MAHARASHTRA,27,GONDIA,476,7,39767,275,40049
MAHARASHTRA,27,KOLHAPUR,480,73,182444,1108,183625
MAHARASHTRA,27,"NAN DED",485,20,98582,570,99172
MAHARASHTRA,27,NANDURBAR,486,5,29695,214,29914
MAHARASHTRA,27,THANE,497,346,582934,5046,588326
MANIPUR,14,CHURACHANDPUR,254,0,3553,14,3567
MANIPUR,14,"IMPHAL EAST",255,1,14146,66,14213
MANIPUR,14,KAKCHING,711,0,3104,11,3115
MANIPUR,14,TAMENGLONG,258,1,930,4,935
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",663,0,1699,6,1705
MEGHALAYA,17,"WEST KHASI HILLS",279,0,1770,5,1775
MIZORAM,15,Hnahthial,726,0,348,0,348
NAGALAND,13,Chumoukedima,758,0,2325,1,2326
ODISHA,21,"MALKANGIRI  ",364,0,12269,52,12321
ODISHA,21,NAYAGARH,367,3,25943,97,26043
PUNJAB,3,"FATEHGARH SAHIB",30,76,25158,1013,26247
PUNJAB,3,JALANDHAR,34,49,117830,874,118753
PUNJAB,3,MANSA,37,4,22542,137,22683
PUNJAB,3,MOGA,38,7,42241,200,42448
PUNJAB,3,"SHAHID BHAGAT SINGH NAGAR",40,1,24822,91,24914
RAJASTHAN,8,BARAN,89,17,25153,238,25408
RAJASTHAN,8,BHILWARA,92,23,93674,604,94301
RAJASTHAN,8,Dudu,102,0,915,3,918
RAJASTHAN,8,"Jodhpur Gramin",107,1,4161,11,4173
RAJASTHAN,8,NAGAUR,110,13,74680,428,75121
RAJASTHAN,8,PRATAPGARH,629,1,18517,89,18607
RAJASTHAN,8,RAJSAMAND,112,0,38261,156,38417
RAJASTHAN,8,SIROHI,115,6,27753,130,27889
SIKKIM,11,Gangtok,225,9,7698,90,7797
"TAMIL NADU",33,ARIYALUR,610,5,25037,110,25152
"TAMIL NADU",33,Chengalpattu,730,6,88645,315,88966
"TAMIL NADU",33,CHENNAI,568,521,362363,6405,369289
"TAMIL NADU",33,COIMBATORE,569,144,210002,2076,212222
"TAMIL NADU",33,KANNIYAKUMARI,575,12,74387,432,74831
"TAMIL NADU",33,KRISHNAGIRI,577,15,82506,525,83046
"TAMIL NADU",33,Mayiladuthurai,735,1,28360,70,28431
"TAMIL NADU",33,"THE NILGIRISH",587,6,26739,91,26836
"TAMIL NADU",33,TUTICORIN,594,20,67770,441,68231
TELANGANA,36,KARIMNAGAR,508,4,55677,298,55979
TELANGANA,36,MAHABUBNAGAR,512,8,41108,197,41313
TELANGANA,36,NAGARKURNOOL,694,0,23010,75,23085
TELANGANA,36,WANAPARTHY,693,0,17488,58,17546
"UTTAR PRADESH",9,"AMBEDAKAR NAGAR",121,3,30844,149,30996
"UTTAR PRADESH",9,AMETHI,640,4,26297,126,26427
"UTTAR PRADESH",9,BAHRAICH,125,6,36788,250,37044
"UTTAR PRADESH",9,BULANDSHAHAR,134,16,60021,463,60500
"UTTAR PRADESH",9,CHANDAULI,135,17,29075,183,29275
"UTTAR PRADESH",9,DEORIA,137,6,45891,209,46106
"UTTAR PRADESH",9,"GAUTAM BUDDHA NAGAR",144,178,161601,1987,163766
"UTTAR PRADESH",9,GHAZIABAD,145,130,164533,1842,166505
"UTTAR PRADESH",9,GHAZIPUR,146,5,56063,227,56295
"UTTAR PRADESH",9,JALAUN,151,2,20733,154,20889
"UTTAR PRADESH",9,KAUSHAMBI,158,1,17639,79,17719
"UTTAR PRADESH",9,MAU,168,4,32763,133,32900
"UTTAR PRADESH",9,MORADABAD,171,20,59945,424,60389
"UTTAR PRADESH",9,PILIBHIT,173,1,31133,127,31261
"UTTAR PRADESH",9,"RAE BARELI",175,6,45941,218,46165
"UTTAR PRADESH",9,RAMPUR,176,18,40176,232,40426
"UTTAR PRADESH",9,SULTANPUR,185,2,32903,168,33073
"UTTAR PRADESH",9,UNNAO,186,5,35810,172,35987
"UTTAR PRADESH",9,VARANASI,187,59,105401,1101,106561
UTTARAKHAND,5,CHAMPAWAT,48,1,6384,23,6408
UTTARAKHAND,5,DEHRADUN,49,42,105328,799,106169
UTTARAKHAND,5,HARIDWAR,50,20,68476,452,68948
UTTARAKHAND,5,"PAURI GARHWAL",52,2,13273,45,13320
UTTARAKHAND,5,"TEHRI GARHWAL",55,3,11803,52,11858
UTTARAKHAND,5,"UDHAM SINGH NAGAR",56,16,69519,498,70033
"WEST BENGAL",19,DARJEELING,309,33,52588,756,53377
"WEST BENGAL",19,"PURBA BARDHAMAN",306,12,78382,614,79008
"WEST BENGAL",19,PURULIA,321,2,28961,164,29127
"ANDAMAN AND NICOBAR ISLANDS",35,NIKOBARS,603,0,496,0,496
DELHI,7,EAST,78,122,80925,1724,82771
"JAMMU AND KASHMIR",1,BARAMULLA,3,3,35753,131,35887
"JAMMU AND KASHMIR",1,BUDGAM,2,2,27130,74,27206
"JAMMU AND KASHMIR",1,KATHUA,7,5,21907,100,22012
"JAMMU AND KASHMIR",1,REASI,627,1,9509,40,9550
LAKSHADWEEP,31,"LAKSHADWEEP DISTRICT",553,0,1336,0,1336
PUDUCHERRY,34,MAHE,600,2,562,22,586
"ANDHRA PRADESH",28,Anakapalli,744,3,30861,80,30944
"ANDHRA PRADESH",28,CHITOOR,503,24,74402,514,74940
"ANDHRA PRADESH",28,"EAST GODAVARI",505,33,83519,918,84470
"ANDHRA PRADESH",28,"SPSR NELLORE",515,29,87400,697,88126
"ANDHRA PRADESH",28,SRIKAKULAM,519,9,47467,292,47768
"ANDHRA PRADESH",28,VIZIANAGARAM,521,6,45169,246,45421
